Year,Team,Nickname,Players in squad,Average Age,Foreign Players,Market Value,Average Market Value,Coaches,Players Used,Matches,W,D,L,GF,GA,+/-,Points
2011,Los Angeles Galaxy,Los Angeles,42,25.7,14,32.70 Mill. €,779 Th. €,1,29,34,19,10,5,48,28,20,67
2012,Chicago Fire,Chicago,33,25.2,16,13.63 Mill. €,413 Th. €,1,27,34,17,6,11,46,41,5,57
2011,Real Salt Lake City,Salt Lake,34,24.2,13,5.96 Mill. €,175 Th. €,1,27,34,15,8,11,44,36,8,53
2016,Portland Timbers,Timbers,30,26.9,14,18.20 Mill. €,607 Th. €,1,25,28,9,8,11,42,44,-2,35
2013,Chicago Fire,Chicago,42,25.4,19,15.05 Mill. €,358 Th. €,1,27,34,14,7,13,47,52,-5,49
2014,New England Revolution,Revolution,28,24.9,8,5.95 Mill. €,213 Th. €,1,26,34,17,4,13,51,46,5,55
2013,Philadelphia Union,Philadelphia,31,23.7,10,9.05 Mill. €,292 Th. €,1,24,34,12,10,12,42,44,-2,46
2016,New England Revolution,Revolution,24,26.9,10,14.75 Mill. €,615 Th. €,1,23,28,7,9,12,31,47,-16,30
2014,San Jose Earthquakes,Quakes,36,27.4,16,12.53 Mill. €,348 Th. €,2,27,34,6,12,16,35,50,-15,30
2012,Philadelphia Union,Philadelphia,41,24.4,17,10.75 Mill. €,262 Th. €,2,32,34,10,6,18,37,45,-8,36
2015,FC Dallas,FC Dallas,33,25.0,22,7.83 Mill. €,237 Th. €,1,24,34,18,6,10,52,39,13,60
2015,New England Revolution,Revolution,28,24.6,7,7.55 Mill. €,270 Th. €,1,21,34,14,8,12,48,47,1,50
2012,D.C. United,DC United,28,25.0,13,9.48 Mill. €,338 Th. €,1,24,34,17,7,10,53,43,10,58
2014,Real Salt Lake City,Salt Lake,28,25.5,11,7.82 Mill. €,279 Th. €,1,25,34,15,11,8,54,39,15,56
2014,Houston Dynamo,Houston,29,25.7,8,9.38 Mill. €,323 Th. €,1,24,34,11,6,17,39,58,-19,39
2011,Toronto FC,Toronto,57,24.0,44,19.35 Mill. €,339 Th. €,1,38,34,6,15,13,36,59,-23,33
2012,Seattle Sounders FC,Sounders FC,44,25.9,20,17.45 Mill. €,397 Th. €,1,28,34,15,11,8,51,33,18,56
2013,Houston Dynamo,Houston,36,25.0,12,12.30 Mill. €,342 Th. €,1,25,34,14,9,11,41,41,0,51
2012,New England Revolution,Revolution,35,24.7,15,11.95 Mill. €,341 Th. €,1,29,34,9,8,17,39,44,-5,35
2014,Vancouver Whitecaps,Vancouver,27,23.2,21,10.03 Mill. €,371 Th. €,1,26,34,12,14,8,42,40,2,50
2015,D.C. United,DC United,37,25.3,11,8.70 Mill. €,235 Th. €,1,25,34,15,6,13,43,45,-2,51
2014,FC Dallas,FC Dallas,26,24.8,17,9.75 Mill. €,375 Th. €,2,26,34,16,6,12,55,45,10,54
2013,Seattle Sounders FC,Sounders FC,45,25.8,19,36.25 Mill. €,806 Th. €,1,29,34,15,7,12,42,42,0,52
2011,FC Dallas,FC Dallas,39,24.2,22,7.38 Mill. €,189 Th. €,1,27,34,15,7,12,42,39,3,52
2015,Philadelphia Union,Philadelphia,28,24.8,13,13.10 Mill. €,468 Th. €,1,28,34,10,7,17,42,55,-13,37
2012,New York Red Bulls,NY Red Bulls,43,26.2,27,34.73 Mill. €,808 Th. €,1,27,34,16,9,9,57,46,11,57
2015,Columbus Crew SC,Columbus,30,24.9,14,9.75 Mill. €,325 Th. €,1,25,34,15,8,11,58,53,5,53
2014,New York Red Bulls,NY Red Bulls,29,26.7,19,10.48 Mill. €,361 Th. €,1,27,34,13,11,10,55,50,5,50
2016,Montreal Impact,Montreal,28,27.5,21,15.78 Mill. €,563 Th. €,1,25,26,9,10,7,40,38,2,37
2011,D.C. United,DC United,32,25.0,9,8.60 Mill. €,269 Th. €,1,29,34,9,12,13,49,52,-3,39
2016,Real Salt Lake City,Salt Lake,25,27.7,13,16.00 Mill. €,640 Th. €,1,23,27,12,7,8,39,37,2,43
2016,Vancouver Whitecaps,Vancouver,29,25.9,19,13.73 Mill. €,473 Th. €,1,28,28,8,7,13,34,44,-10,31
2016,Columbus Crew SC,Columbus,26,27.0,12,14.00 Mill. €,538 Th. €,1,27,26,5,11,10,35,42,-7,26
2016,D.C. United,DC United,29,27.1,11,15.50 Mill. €,534 Th. €,1,26,27,7,11,9,35,36,-1,32
2016,New York Red Bulls,NY Red Bulls,21,28.5,11,16.55 Mill. €,788 Th. €,1,26,28,12,7,9,47,35,12,43
2012,Real Salt Lake City,Salt Lake,36,24.9,17,7.18 Mill. €,199 Th. €,1,24,34,17,6,11,46,35,11,57
2012,Portland Timbers,Timbers,39,23.9,23,12.15 Mill. €,312 Th. €,2,29,34,8,10,16,34,56,-22,34
2011,New England Revolution,Revolution,42,24.7,20,12.70 Mill. €,302 Th. €,1,27,34,5,13,16,38,58,-20,28
2011,Portland Timbers,Timbers,43,24.6,19,6.70 Mill. €,156 Th. €,1,27,34,11,9,14,40,48,-8,42
2013,D.C. United,DC United,46,25.3,21,14.93 Mill. €,324 Th. €,1,33,34,3,7,24,22,59,-37,16
